rank,wallet_address,layer3_xp
233,0x0bdbe5cc060b00cee653791a4039d73a0dc1fcc7,1600
234,0x17d72d8929e45e8e180b1e9bfb7500cfe6168db2,1600
235,0x15bfa5d7078fe750feb49cf2b499b037a580e145,1600
236,0x6ca343551593cf72524a0f5f06cb4f82f8a0e04c,1600
237,0x69511222101d928c30620c59b32ff5a30c74ebcf,1600
238,0x1b2b4346467e7876df0d05a2baa497949017dc3d,1600
239,0x1024c01ec70637ea31e9fb661f625aefd6105d81,1600
240,0x5f37f63df77f751adfff31908797120ad4365734,1600
241,0xa6b57fb2257029c6450f0b86a4a588719075e706,1600
242,0x2c87267af870d6fd775b03f8bb01b48af3216dc5,1600
243,0x2205d30dc11c02a7e278ceb24c2c977d4be9b126,1600
244,0xf614ddc260c8e72efd5aec92e3a4e3ecc4c2a116,1600
245,0x4475e2a824a1e38d17a5dce389b9ab5df3de186f,1600
246,0x86e3e379717f148f3251a1f0f040d0d90dd2e502,1600
247,0x84f0cee6916d7bdceb696ff8d8dd6f1ef0d18e9f,1600
248,0x17a1ebec5abe1fc794d5f55562dcc217ad35f356,1600
249,0x288457ac35bbdf035845acb7f2a310bbf7a74c52,1600
250,0x2c66614bbbe0e0891458118fe6067eced8aadb13,1600
251,0x4fc34b06eec4341c1594a88a1d55c3ffe932f597,1600
252,0x61bd9646106c5041899b7ef2384af5ed41b873b1,1600
253,0x4778300fb7068fac4743ad6a10880531a8308ff3,1600
254,0xb9323ca451c82367fe796cec13f3683b3f6a5f59,1600
255,0x2550d50d0fa9477e4bcdc21626f2edfb94f3cbf7,1600
256,0xd6dc3772cc7a339fbf22a6ef8530adc37edd9032,1600
257,0x457022562fee206aa587a039d1e9f426c1cc9e54,1600
258,0x93907de38066d70109935732757b625d636e47b6,1600
259,0x277a632432c3e026d5753694f42c8b1590ccc744,1600
260,0xca3eced76dedf56a00f63e7975376a8ea2bb1d39,1600
261,0xd5e6a760bc7a67c956f469e963ed0be910d81e06,1600
262,0x6216525b4107bca9e83fe302605ff2d81fa36992,1600
263,0xf8014a5f9c8f2ed1a5b2b4e2a53495d37748c12d,1600
264,0x5a19c6b67c45adadc6a521b8cb775a279009b723,1600
265,0x963af327e553eb2fc290bb99d50fbb9e88fab824,1600
266,0x147e16f0bf524a95d07dd7113f4c7e7c1bd67921,1600
267,0x796f31aa3118eb362559960f63157ca48d2b275f,1600
268,0x39f86b73eed92602b48507823de37b1165d4f26d,1600
269,0x18b68047ed30c7c8591684a7b76f1d923ba84010,1600
270,0x6bb2566c7456c890d093e12e53c3d5c8f2b65c62,1600
271,0xa71e2faeee233a9f6bc56d7c2b9d2e355b9efcd9,1600
272,0x3aec2d7701b642730e50bfc3d5094ccc8eea9dd3,1600
273,0x65ba9b9c386acd77ac1e662d29de36a4a361995f,1600
274,0xd08a5795235617ff6c6c42e08d0f0c059965442a,1600
275,0x2f07bfa8a516347e54c6253bee85b2aec3cd8359,1600
276,0xbc0bb37fa466234a742b460aa93caeae59b4b95f,1600
277,0xf7b8de5f139f24f4760460475ecb61e0e1319caf,1600
