block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-11-22 00:00:00.000 UTC,optimism,56,9,17,38
2023-11-23 00:00:00.000 UTC,base,1113,3,2,738
2023-11-23 00:00:00.000 UTC,optimism,33,7,14,30
2023-11-24 00:00:00.000 UTC,base,864,3,2,580
2023-11-24 00:00:00.000 UTC,optimism,34,11,10,23
2023-11-25 00:00:00.000 UTC,base,786,2,1,522
2023-11-25 00:00:00.000 UTC,optimism,16,8,9,13
2023-11-26 00:00:00.000 UTC,arbitrum,15,1,1,14
2023-11-26 00:00:00.000 UTC,base,784,2,1,529
2023-11-26 00:00:00.000 UTC,optimism,28,4,10,19
2023-11-27 00:00:00.000 UTC,arbitrum,59,1,1,44
2023-11-27 00:00:00.000 UTC,base,813,2,1,539
2023-11-27 00:00:00.000 UTC,optimism,21,5,15,19
2023-11-28 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-11-28 00:00:00.000 UTC,base,852,2,1,575
2023-11-28 00:00:00.000 UTC,optimism,24,5,14,19
2023-11-29 00:00:00.000 UTC,base,1031,2,1,681
2023-11-29 00:00:00.000 UTC,optimism,35,10,25,32
2023-11-30 00:00:00.000 UTC,arbitrum,5,3,2,4
2023-11-30 00:00:00.000 UTC,base,1038,4,4,676
2023-11-30 00:00:00.000 UTC,optimism,32,13,18,18
2023-12-01 00:00:00.000 UTC,base,1925,5,3,1325
2023-12-01 00:00:00.000 UTC,optimism,31,6,18,25
2023-12-02 00:00:00.000 UTC,base,4357,3,2,3080
2023-12-02 00:00:00.000 UTC,ethereum,1,1,1,1
2023-12-02 00:00:00.000 UTC,optimism,40,11,23,25
2023-12-03 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-12-03 00:00:00.000 UTC,base,2989,4,3,2079
2023-12-03 00:00:00.000 UTC,optimism,38,4,16,17
2023-12-04 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-12-04 00:00:00.000 UTC,base,3005,2,1,2112
2023-12-04 00:00:00.000 UTC,optimism,75,16,29,30
2023-12-04 00:00:00.000 UTC,scroll,47,2,2,2
2023-12-05 00:00:00.000 UTC,base,9058,2,1,6494
